value,frequency,pdf,cdf
780,2,0.0003049710277523635,0.9745349191826722
785,1,0.00015248551387618176,0.9746874046965484
794,1,0.00015248551387618176,0.9748398902104245
800,1,0.00015248551387618176,0.9749923757243006
806,1,0.00015248551387618176,0.9751448612381768
822,1,0.00015248551387618176,0.9752973467520529
824,1,0.00015248551387618176,0.9754498322659291
833,1,0.00015248551387618176,0.9756023177798052
843,1,0.00015248551387618176,0.9757548032936814
848,2,0.0003049710277523635,0.9760597743214338
855,1,0.00015248551387618176,0.9762122598353099
863,1,0.00015248551387618176,0.976364745349186
867,1,0.00015248551387618176,0.9765172308630622
870,1,0.00015248551387618176,0.9766697163769383
871,1,0.00015248551387618176,0.9768222018908145
876,1,0.00015248551387618176,0.9769746874046906
881,1,0.00015248551387618176,0.9771271729185668
892,1,0.00015248551387618176,0.9772796584324429
893,1,0.00015248551387618176,0.977432143946319
898,2,0.0003049710277523635,0.9777371149740715
906,1,0.00015248551387618176,0.9778896004879476
924,1,0.00015248551387618176,0.9780420860018237
953,1,0.00015248551387618176,0.9781945715156999
959,1,0.00015248551387618176,0.978347057029576
961,1,0.00015248551387618176,0.9784995425434522
966,1,0.00015248551387618176,0.9786520280573283
978,1,0.00015248551387618176,0.9788045135712045
984,1,0.00015248551387618176,0.9789569990850806
995,1,0.00015248551387618176,0.9791094845989567
1002,2,0.0003049710277523635,0.9794144556267091
1008,1,0.00015248551387618176,0.9795669411405853
1010,1,0.00015248551387618176,0.9797194266544614
1019,1,0.00015248551387618176,0.9798719121683376
1031,1,0.00015248551387618176,0.9800243976822137
1032,1,0.00015248551387618176,0.9801768831960899
1043,1,0.00015248551387618176,0.980329368709966
1047,1,0.00015248551387618176,0.9804818542238422
1052,1,0.00015248551387618176,0.9806343397377183
1077,1,0.00015248551387618176,0.9807868252515944
1091,1,0.00015248551387618176,0.9809393107654706
1092,1,0.00015248551387618176,0.9810917962793467
1115,1,0.00015248551387618176,0.9812442817932229
1122,2,0.0003049710277523635,0.9815492528209753
1139,2,0.0003049710277523635,0.9818542238487277
1163,1,0.00015248551387618176,0.9820067093626038
1166,2,0.0003049710277523635,0.9823116803903562
1174,1,0.00015248551387618176,0.9824641659042324
1185,1,0.00015248551387618176,0.9826166514181085
1202,1,0.00015248551387618176,0.9827691369319846
1213,1,0.00015248551387618176,0.9829216224458608
1225,1,0.00015248551387618176,0.9830741079597369
1231,2,0.0003049710277523635,0.9833790789874893
1242,1,0.00015248551387618176,0.9835315645013655
1254,1,0.00015248551387618176,0.9836840500152416
1270,1,0.00015248551387618176,0.9838365355291178
1285,1,0.00015248551387618176,0.9839890210429939
1288,1,0.00015248551387618176,0.98414150655687
1304,1,0.00015248551387618176,0.9842939920707462
1314,1,0.00015248551387618176,0.9844464775846223
1337,1,0.00015248551387618176,0.9845989630984985
1400,1,0.00015248551387618176,0.9847514486123746
1420,1,0.00015248551387618176,0.9849039341262508
1474,1,0.00015248551387618176,0.9850564196401269
1480,1,0.00015248551387618176,0.9852089051540031
1491,1,0.00015248551387618176,0.9853613906678792
1517,1,0.00015248551387618176,0.9855138761817553
1527,1,0.00015248551387618176,0.9856663616956315
1597,1,0.00015248551387618176,0.9858188472095076
1715,1,0.00015248551387618176,0.9859713327233838
1731,1,0.00015248551387618176,0.9861238182372599
1738,1,0.00015248551387618176,0.9862763037511361
1769,1,0.00015248551387618176,0.9864287892650122
1888,1,0.00015248551387618176,0.9865812747788884
1894,1,0.00015248551387618176,0.9867337602927645
2026,1,0.00015248551387618176,0.9868862458066406
2030,1,0.00015248551387618176,0.9870387313205168
2054,1,0.00015248551387618176,0.9871912168343929
2071,1,0.00015248551387618176,0.9873437023482691
2112,1,0.00015248551387618176,0.9874961878621452
2125,1,0.00015248551387618176,0.9876486733760214
2146,1,0.00015248551387618176,0.9878011588898975
2246,1,0.00015248551387618176,0.9879536444037736
2285,1,0.00015248551387618176,0.9881061299176498
2312,1,0.00015248551387618176,0.9882586154315259
2343,1,0.00015248551387618176,0.9884111009454021
2364,1,0.00015248551387618176,0.9885635864592782
2407,1,0.00015248551387618176,0.9887160719731544
2409,1,0.00015248551387618176,0.9888685574870305
2495,1,0.00015248551387618176,0.9890210430009067
2508,1,0.00015248551387618176,0.9891735285147828
2515,1,0.00015248551387618176,0.9893260140286589
2624,1,0.00015248551387618176,0.9894784995425351
2640,1,0.00015248551387618176,0.9896309850564112
2656,1,0.00015248551387618176,0.9897834705702874
2667,1,0.00015248551387618176,0.9899359560841635
2819,1,0.00015248551387618176,0.9900884415980397
2963,1,0.00015248551387618176,0.9902409271119158
3013,1,0.00015248551387618176,0.990393412625792
3117,1,0.00015248551387618176,0.9905458981396681
3287,1,0.00015248551387618176,0.9906983836535442
3293,1,0.00015248551387618176,0.9908508691674204
3316,1,0.00015248551387618176,0.9910033546812965
3320,1,0.00015248551387618176,0.9911558401951727
3327,1,0.00015248551387618176,0.9913083257090488
3340,1,0.00015248551387618176,0.991460811222925
3469,1,0.00015248551387618176,0.9916132967368011
3624,1,0.00015248551387618176,0.9917657822506772
3771,1,0.00015248551387618176,0.9919182677645534
3843,1,0.00015248551387618176,0.9920707532784295
4064,1,0.00015248551387618176,0.9922232387923057
4088,1,0.00015248551387618176,0.9923757243061818
4111,1,0.00015248551387618176,0.992528209820058
4120,1,0.00015248551387618176,0.9926806953339341
4239,1,0.00015248551387618176,0.9928331808478102
4386,1,0.00015248551387618176,0.9929856663616864
4453,1,0.00015248551387618176,0.9931381518755625
4611,1,0.00015248551387618176,0.9932906373894387
4796,1,0.00015248551387618176,0.9934431229033148
4939,1,0.00015248551387618176,0.993595608417191
5042,1,0.00015248551387618176,0.9937480939310671
5714,1,0.00015248551387618176,0.9939005794449433
6017,1,0.00015248551387618176,0.9940530649588194
6120,1,0.00015248551387618176,0.9942055504726955
6413,1,0.00015248551387618176,0.9943580359865717
6737,1,0.00015248551387618176,0.9945105215004478
6758,1,0.00015248551387618176,0.994663007014324
6930,1,0.00015248551387618176,0.9948154925282001
6935,1,0.00015248551387618176,0.9949679780420763
7062,1,0.00015248551387618176,0.9951204635559524
7247,1,0.00015248551387618176,0.9952729490698285
