route_a,route_b
上海商超B母婴玩具仓5号库,021Y072
北京服装仓7号库,010F017
上海维达商超协同仓,021Y072
武汉亚一商超A休闲食品仓3号库,027F010
上海商超B宠物园艺仓1号库,021Y072
郑州亚一安踏KA仓2号库,371F027
上海公共平台仓10号库,021F008
上海生鲜仓1号库,021Y072
北京医疗器械仓1号库,010F069
广州商超A个护清洁仓2号库,757F003
武汉药品仓1号库,027F006
027F006,027F002
027F002,512F055
宁波北仑保税综合仓1号库,021Y072
上海商超B个护清洁仓2号库,021Y072
512F008,512F004
上海商超B牛奶水饮仓5号库,021Y072
北京服装仓4号库,010F172
北京商超B母婴玩具仓4号库,316F011
西安百货B仓1号库,029F270
上海服装仓5号库,021Y072
西安亚一3CA仓2号库,029F678
武汉东西湖保税综合仓1号库,027F006
上海亚一图书音像仓2号库,021Y072
上海商超A个护清洁仓6号库,574F003
上海百货B家居日用仓5号库（临时）,512F004
上海百货B家居日用仓3号库,021Y072
北京百货B车旅用品仓1号库,010F017
成都3CB电脑办公仓3号库,028F029
武汉商超A个护清洁仓1号库,027F006
029F678,029F346
022F022,010F013
济南百货B家居日用仓2号库,531F001
512F012,512F011
东莞亚一综合B仓5号库,769F007
济南商超B宠物园艺仓1号库,316F021
316F011,316F001
316F001,316F011
西安亚一3CB仓1号库,029F678
西安百货B仓4号库,029F346
上海服装仓6号库,512F055
上海亚一商超A个护清洁仓5号库,021Y072
北京商超A休闲食品仓2号库,022F021
上海百货B家居日用仓5号库,021Y072
上海商超A个护清洁仓10号库,021Y072
上海综合仓1号库,021Y072
020F242,769F001
沈阳商超A个护清洁仓2号库,024F004
济南百货B家居日用仓1号库,316F021
上海文轩图书协同仓,571F099
成都亚一商超B牛奶水饮仓2号库,028F020
316F021,512F055
武汉百货B家居日用仓5号库,027F006
757F003,769F001
天津港保税综合仓2号库,021Y072
广州黄埔保税综合仓1号库,021Y072
广州商超A个护清洁仓7号库,760F001
上海公共平台仓9号库,571F099
上海商超B牛奶水饮仓3号库,021Y072
北京百货B家具建材仓2号库,312F002
312F002,316F011
北京斐乐KA仓1号库,316F011
德州商超A个护清洁仓2号库,531F001
上海医疗器械仓1号库（新）,021Y072
广州亚一服装仓7号库,020F009
020F242,512F055
上海尤妮佳无界工厂仓,021F008
成都亚一服装仓2号库,028F020
武汉百货A家居日用仓1号库,027F002
广州百货B家居日用仓4号库,757F003
济南百货B车旅用品仓2号库,316F021
广州3CB电脑办公仓1号库,757F003
北京服装仓8号库,010F013
武汉百货B家居日用仓2号库,027F002
760F001,020F242
武汉亚一3CA数码通讯仓3号库,027F060
德州商超A休闲食品仓2号库,316F021
广州百货B家居日用仓5号库,757F003
武汉健康仓1号库,027F002
512F012,512F008
广州药品仓2号库,020F008
020F008,769F001
金华金义保税平台协同仓1号库,571F022
广州药品仓2号库,021Y072
上海百货B家具建材仓5号库,021Y072
,028F020
571F099,551F002
北京商超A个护清洁仓5号库,010F017
上海公共平台仓8号库,021Y072
东莞亚一综合B仓1号库,769F007
杭州下沙保税平台协同仓2号库,021Y072
沈阳亚一商超A个护清洁仓1号库,024F004
北京百货B家具建材仓1号库,010F172
北京服装仓1号库,010F172
上海周黑鸭无界工厂仓,512F004
北京商超B牛奶水饮仓6号库,316F003
北京商超B牛奶水饮仓5号库,316F011
沈阳公共平台仓9号库,024F004
北京百货B车旅用品仓1号库,316F011
北京服装仓2号库,010F172
北京商超A个护清洁仓4号库,021Y072
武汉亚一医疗器械仓2号库,027F060
上海商超B宠物园艺仓2号库,021Y072
020F041,512F011
北京商超A个护清洁仓2号库,010F017
上海商超B米面粮油仓2号库,512F004
西安亚一3CA仓3号库,021Y072
广州百货B家具建材仓3号库,757F003
上海生鲜仓3号库,021F009
广州商超A个护清洁仓1号库,020F242
宁波北仑保税综合仓1号库,579F010
武汉商超B母婴玩具仓1号库,027F002
东莞亚一综合B仓4号库,769F007
021F005,512F065
上海百货B家具建材仓1号库,021Y072
西安百货B家居日用仓1号库,029F270
029F270,029F678
广州百货B家具建材仓4号库,020F242
驻马店FDC仓AN1库,371F002
371F002,396F002
396F002,551F011
沈阳百货B家居日用仓2号库,024F004
769F001,755F022
SZX,CZX
CZX,519F008
519F008,512F055
沈阳医疗器械仓4号库,024F043
德州商超A休闲食品仓1号库,531F001
西安商超A休闲食品仓2号库,029F270
成都亚一商超A个护清洁仓7号库,028F020
成都亚一商超A个护清洁仓1号库,028F029
武汉亚一3CA数码通讯仓2号库,027F010
广州商超A个护清洁仓7号库,757F003
济南商超A个护清洁仓1号库,531F001
金华金义保税平台协同仓1号库,021Y072
上海嘉定保税宠物协同仓1号库,512F004
广州南海药品协同保税仓1号库,020F242
020F242,GZNZ
GZNZ,SHHQHCZ
上海商超B母婴玩具仓T2号库,021F008
德州商超A个护清洁仓3号库,021Y072
北京公共平台仓18号库,022F015
022F015,316F011
西安药品仓1号库,029F346
上海亚一百货A家具建材仓2号库（临时）,512F008
010F013,527F005
北京厨房小电仓1号库,022F005
成都百货B家居日用仓4号库,028F020
西安亚一商超B个护清洁仓2号库,029F678
广州安踏KA仓3号库,757F003
北京商超B米面粮油仓6号库,010F013
010F013,BJNZ
BJNZ,SHHQHCZ
上海公共平台仓22号库,579F010
济南百货A仓1号库,316F021
北京安踏KA仓1号库,316F001
成都亚一综合B仓2号库,028F029
广州亚一综合A仓1号库,021Y072
广州商超A个护清洁仓2号库,020F242
029F270,551F011
广州服装仓3号库,020F242
上海公共平台仓12号库,571F099
德州商超A个护清洁仓3号库,316F021
512F011,512F012
廊坊广阳保税综合仓1号库,022F005
北京商超B母婴玩具仓1号库,010F017
021F009,021Y072
西安生活小电仓2号库,029F270
791F013,551F011
广州商超B宠物园艺仓1号库,757F003
武汉公共平台仓6号库,027F074
020F242,755F022
西安亚一商超A个护清洁仓3号库,029F678
济南综合A仓1号库,021Y072
上海百货B家居日用仓5号库,512F085
512F085,512F065
武汉新港分拣中心,027F002
上海商超A个护清洁仓7号库,512F011
上海公共平台仓22号库,021Y072
上海曼伦商超协同仓,021Y072
武汉健康仓1号库,027F074
上海商超A个护清洁仓8号库,512F065
赣州本地仓1号库,797F001
797F001,791F013
武汉亚一商超B米面粮油仓3号库,027F010
028F078,028F020
德州厨房小电仓2号库,316F021
广州商超B个护清洁仓4号库,757F003
北京公共平台仓17号库,022F015
德州公共平台仓2号库,316F021
济南3CB电脑办公仓1号库,316F021
北京天竺保税药品协同仓2号库,010F017
武汉亚一3CA数码通讯仓3号库,021Y072
316F011,021Y072
上海亚一商超B米面粮油仓2号库,021Y072
上海亚一商超A个护清洁仓3号库,021Y072
北京百货A仓1号库（临时）,010F069
武汉商超A个护清洁仓2号库,027F002
北京公共平台仓16号库,316F030
抚州药品仓1号库,021Y072
沈阳厨房小电仓1号库,024F001
024F001,024F004
广州百货B家居日用仓1号库,757F003
武汉亚一商超A个护清洁仓4号库,027F060
上海商超A个护清洁仓9号库,512F085
512F085,021Y024
021Y024,512F065
上海品星商超协同仓,021Y072
贵阳安踏KA仓3号库,851F002
851F002,512F012
成都商超B个护清洁仓1号库（新）,028F020
021F015,512F085
德州百货B家具建材仓2号库,316F021
北京百货B家具建材仓6号库,022F022
武汉商超A个护清洁仓2号库,027F074
广州百货B家居日用仓2号库,752F001
752F001,020F242
512F012,752F001
752F001,512F012
028F078,512F012
北京服装仓1号库,010F017
北京服装仓1号库,316F011
512F012,027F002
广州医疗器械仓1号库,769F007
武汉亚一商超B母婴玩具仓3号库,027F060
北京公共平台仓7号库,316F016
010F013,021Y072
济南百货B家居日用仓7号库,316F021
316F021,JNHCZ
JNHCZ,SHZ
SHZ,512F004
沈阳亚一3CB电脑办公仓1号库（临时）,024F004
北京服装仓4号库,021Y072
SZX,NKG
NKG,025F002
025F002,025F005
武汉商超B母婴玩具仓1号库,021Y072
上海亚一服装仓7号库,021Y072
021F009,021Y643
021Y643,021F052
北京3CB电脑办公仓1号库,021Y072
西安医疗器械仓1号库,029F270
上海家纺综合协同仓,021Y072
上海百货B车旅用品仓4号库,021Y072
济南唯道无界工厂仓,539F001
539F001,512F012
北京图书音像仓1号库,021Y072
天津商超A个护清洁仓1号库,022F002
022F002,TSN
TSN,SHA
西安亚一商超A个护清洁仓5号库,029F678
北京北斗商超A休闲食品仓1号库,022F021
上海公共平台仓4号库,021Y072
,755F035
上海洁柔商超协同仓（新）,021Y072
洛阳本地仓1号库,037F001
037F001,396F002
396F002,512F055
济南百货A家居日用仓1号库,316F021
北京百货A仓2号库,021Y072
沈阳厨房小电仓2号库（临时）,024F004
宁波FDC仓A1库,574F003
广州百货B家居日用仓7号库,020F242
武汉公共平台仓6号库,027F002
德州商超A个护清洁仓4号库,531F001
沈阳公共平台仓10号库,024F004
宿迁墨一无界工厂仓,527F005
022F002,021F008
SZX,SHA
512F008,512F011
广州百货B家居日用仓2号库,020F242
上海生鲜仓3号库（新）,021Y072
广州增城分拣中心,020F242
广州黄埔分拣中心,769F001
武汉安踏KA仓2号库,027F074
851F002,028F020
成都亚一3CA仓1号库,028F029
成都百货B家居日用仓2号库,028F029
广州百货B家居日用仓5号库,760F001
512F008,512F065
上海生鲜仓3号库,021Y072
武汉百货A家居日用仓1号库,027F074
成都百货A家居日用仓1号库,028F020
广州百货B家居日用仓1号库,760F001
北京公共平台仓13号库,316F004
316F004,316F011
西安商超B米面粮油仓2号库,029F270
德州商超B米面粮油仓1号库,316F021
021F005,021F009
苏州千灯分拣中心,021F008
武汉亚一商超A休闲食品仓3号库,027F060
上海百货B家居日用仓4号库,021Y072
西安亚一商超A个护清洁仓2号库,029F678
武汉药品仓1号库,021Y072
沈阳百货B家居日用仓3号库,024F001
沈阳亚一百货A仓1号库,024F043
316F021,JNDZ
JNDZ,SHHQHCZ
512F008,516F001
516F001,527F005
021F005,025F002
德州综合A仓1号库,021Y072
上海商超B母婴玩具仓1号库,512F055
武汉百货B家具建材仓2号库,027F074
广州百货B家居日用仓1号库,020F242
沈阳公共平台仓2号库,024F001
021F005,512F085
北京公共平台仓10号库,022F022
杭州亚一商超B个护清洁仓1号库,057F021
深圳兴围营业部,755F004
755F004,769F001
021F005,512F011
512F008,523F001
523F001,523F004
德州百货B车旅用品仓2号库,316F021
PKX,SHA
上海金红叶商超协同仓,021Y072
沈阳医疗器械仓3号库,024F043
上海商超B米面粮油仓3号库,512F004
合肥亚一FDC仓A1库,551F002
德州商超A个护清洁仓2号库,021Y072
成都商超A个护清洁仓6号库,028F020
武汉商超B母婴玩具仓2号库,027F002
上海服装仓N5号库,021Y072
德州商超A个护清洁仓1号库,531F001
512F012,512F065
济南百货B家居日用仓6号库,316F021
512F012,024F004
512F055,512F012
512F012,512F055
上海百货B家居日用仓5号库（临时）,512F055
769F007,020F242
上海百货B家居日用仓5号库（新）,512F012
512F065,512F004
021F015,512F011
