route_a,route_b
杭州下沙保税平台协同仓2号库,571F022
北京图书音像仓2号库,010F172
上海公共平台仓15号库,021F008
上海金佰利商超协同仓,021Y072
武汉商超B母婴玩具仓1号库,027F074
上海公共平台仓19号库,527F001
527F001,527F005
北京天竺保税药品协同仓1号库,010F017
010F017,316F011
广州亚一服装仓5号库,020F009
上海百货B家居日用仓7号库,021F008
上海商超B母婴玩具仓3号库,021F008
上海公共平台仓16号库,021F008
上海服装仓6号库,021Y072
上海综合仓1号库,021F053
上海周黑鸭无界工厂仓,512F004
512F004,513F002
523F004,571F099
上海隆力奇KA仓1号库,512F055
广州商超A休闲食品仓3号库,021Y072
上海百货B车旅用品仓4号库,025F005
025F005,021F008
广州服装仓2号库,020F242
020F242,769F001
北京百货B家居日用仓5号库,022F021
北京百货A家具建材仓1号库,010F172
上海亚一商超A个护清洁仓5号库,021F015
天津港保税综合仓2号库,316F011
泰州药品仓1号库,512F055
021F005,021F015
上海百货B车旅用品仓1号库,021F053
上海商超B米面粮油仓3号库,021F053
上海服装仓5号库,021F053
上海百货B家具建材仓3号库,021F053
上海商超A休闲食品仓4号库,021Y072
020F060,020F242
广州公共平台仓14号库,757F042
757F042,757F003
757F003,020F242
广州宝洁商超协同仓,020F060
广州商超B个护清洁仓1号库,021F008
广州商超B个护清洁仓5号库,021F008
广州商超B个护清洁仓1号库,757F042
广州商超B牛奶水饮仓5号库,CPZ40FS
广州商超B牛奶水饮仓5号库,CPZ
广州服装仓1号库,020F242
广州百货B家居日用仓3号库,020F242
天津药品仓1号库,022F002
022F002,316F011
武汉商超B牛奶水饮仓1号库,027F006
上海商超B米面粮油仓1号库,021Y072
武汉商超B米面粮油仓1号库,027F006
抚州药品仓1号库,791F013
791F013,731F001
731F001,731F010
731F010,021F051
武汉东西湖保税综合仓1号库,027F010
广州商超A休闲食品仓3号库,760F001
760F001,020F242
020F242,021F051
西安医疗器械仓1号库,029F678
029F270,551F011
551F011,571F099
027F002,021F008
上海百货B家具建材仓3号库,021Y072
769F007,021F051
上海商超A休闲食品仓6号库,021Y072
广州商超A个护清洁仓6号库,021Y072
